ME,TRONOH,SG RAIA,SG . TERAP,TG. TUALANG,ULU KINTA
1,18.75,13.09,7.14,0,7.97
2,25,2.62,16.07,42.68,18.88
3,6.25,10.47,42.86,6.1,38.88
4,0,5.24,117.86,0,22.93
5,0,13.09,12.5,12.2,12.87
6,6.25,0,135.71,0,9.65
7,6.25,2.62,94.64,0,1.96
8,6.25,0,332.14,0,38.6
9,0,0,16.07,0,29.37
10,0,0,7.14,0,2.24
11,0,0,0,0,2.66
12,0,0,0,0,1.4
13,0,0,1.79,0,2.52
14,0,5.24,0,0,6.43
15,0,18.32,14.29,0,22.23
16,12.5,5.23,28.57,12.2,17.5
17,37.5,5.24,16.07,6.1,22.09
18,31.25,23.6,12.5,0,43.6
19,18.75,10.47,33.93,6.1,40.83
20,25,56.25,12.5,0,86
21,6.25,86.39,25,0,85.44
22,12.5,65.45,17.86,6.1,72.58
23,18.75,39.27,26.79,0,44.05
24,6.25,28.8,0,0,25.45
25,0,36.65,7.14,0,15.8
